"t","lower","median","upper","district","fit","date"
209,-0.115291430182763,-0.0521026342128046,-0.00319148084858638,"Analamanga","gp",2020-09-07
210,-0.10828575174929,-0.050778865936083,0.00261583160497343,"Analamanga","gp",2020-09-08
211,-0.111109106743919,-0.0485395467414818,0.00833446928811525,"Analamanga","gp",2020-09-09
212,-0.116914107574981,-0.0467620905099169,0.0176545575563672,"Analamanga","gp",2020-09-10
213,-0.103856294425672,-0.0417314617457678,0.0260045554928472,"Analamanga","gp",2020-09-11
214,-0.100603777247961,-0.0354647593448112,0.0312362287837453,"Analamanga","gp",2020-09-12
215,-0.0937474176251476,-0.0304842643844734,0.0395814073008659,"Analamanga","gp",2020-09-13
216,-0.0993953486036169,-0.0237433899130415,0.0492387915805576,"Analamanga","gp",2020-09-14
217,-0.0983516822668655,-0.0172689176169392,0.0643792593383544,"Analamanga","gp",2020-09-15
218,-0.0936504666517085,-0.0104420204912042,0.0769948942027168,"Analamanga","gp",2020-09-16
219,-0.101235541335772,-0.00319332485610389,0.0904190786245762,"Analamanga","gp",2020-09-17
220,-0.0904690257401954,0.00474784766376679,0.105654598974478,"Analamanga","gp",2020-09-18
221,-0.0775516910310131,0.0162962014930512,0.115921842205868,"Analamanga","gp",2020-09-19
222,-0.0689202505550419,0.0245161834140724,0.12656846120174,"Analamanga","gp",2020-09-20
223,-0.0635993769842775,0.0352919200863215,0.135623884073357,"Analamanga","gp",2020-09-21
224,-0.0585488919685874,0.0445606246354052,0.147767610373428,"Analamanga","gp",2020-09-22
225,-0.0527018718237832,0.054454889968567,0.164856324983255,"Analamanga","gp",2020-09-23
226,-0.0435751132706762,0.0604514120495064,0.172520169168135,"Analamanga","gp",2020-09-24
227,-0.0334636001579826,0.0705944520893999,0.175132102937745,"Analamanga","gp",2020-09-25
228,-0.026146124468105,0.0763031211696277,0.169694333533932,"Analamanga","gp",2020-09-26
229,-0.0223837977256905,0.077546772165409,0.160618907502761,"Analamanga","gp",2020-09-27
230,-0.0190010940102152,0.0767880653141138,0.150640565637682,"Analamanga","gp",2020-09-28
231,-0.0166693409047619,0.0732397526980032,0.136996381344347,"Analamanga","gp",2020-09-29
