"t","lower","median","upper","district","fit","date"
204,-0.12331275227357,-0.0772213619599466,-0.039926768786353,"National","gp",2020-09-02
205,-0.121441966077071,-0.078594657762042,-0.0379849142048628,"National","gp",2020-09-03
206,-0.120060384374865,-0.0754539149185829,-0.0378838394928041,"National","gp",2020-09-04
207,-0.116799460814416,-0.0730486607640229,-0.03646180329674,"National","gp",2020-09-05
208,-0.114947837719096,-0.0711867740584274,-0.0318196839417959,"National","gp",2020-09-06
209,-0.119637143058868,-0.0699970774559106,-0.0212788282303632,"National","gp",2020-09-07
210,-0.11592026902227,-0.0675582370348044,-0.0194351031708681,"National","gp",2020-09-08
211,-0.115349159058571,-0.0652900785765185,-0.0193292432329176,"National","gp",2020-09-09
212,-0.117224767257164,-0.0597642043472958,-0.0131681041984423,"National","gp",2020-09-10
213,-0.118803019795106,-0.0557691405208512,-0.00434749609409641,"National","gp",2020-09-11
214,-0.117273755226978,-0.0511033518063291,0.00534367399771476,"National","gp",2020-09-12
215,-0.11718566369978,-0.0475070869656855,0.0144194092669718,"National","gp",2020-09-13
216,-0.117198036308987,-0.0419559855137192,0.0220466084600265,"National","gp",2020-09-14
217,-0.110290823364191,-0.0337463792900934,0.0304605293934055,"National","gp",2020-09-15
218,-0.104063596160917,-0.0308132256739915,0.0396776125218944,"National","gp",2020-09-16
219,-0.102295148354716,-0.0234680635166295,0.0464531371754343,"National","gp",2020-09-17
220,-0.101686793264334,-0.0147718359571758,0.0527139181976195,"National","gp",2020-09-18
221,-0.0992372130855432,-0.00566347668037763,0.0680291044795375,"National","gp",2020-09-19
222,-0.0939547072152767,0.00390911513981044,0.0837852527731149,"National","gp",2020-09-20
223,-0.087500500224629,0.0147710228726167,0.0948884308218847,"National","gp",2020-09-21
224,-0.0799057653817546,0.0230694456864189,0.107649353615215,"National","gp",2020-09-22
225,-0.0728012486803076,0.0324134842570369,0.120374262921107,"National","gp",2020-09-23
226,-0.0693593967751609,0.0414961315931811,0.132464114432845,"National","gp",2020-09-24
227,-0.0695244535151722,0.0531187199733194,0.141396452101887,"National","gp",2020-09-25
228,-0.0677365889096988,0.0569377384712327,0.142575773971316,"National","gp",2020-09-26
229,-0.068423328616864,0.0590295650598456,0.149637566289583,"National","gp",2020-09-27
230,-0.0727546634263855,0.0564094161748608,0.139121644665115,"National","gp",2020-09-28
231,-0.0789826511437034,0.0536202567981409,0.127818376489813,"National","gp",2020-09-29
