"region","fit","variable","date","type","bottom","top","lower","upper","median","mean"
"National","EpiNow2-IPM-dat","R","2020-05-23","estimate",0.903816558329699,1.29836258447053,0.991516318742099,1.15495452817426,1.06669190452831,1.07962107517416
"National","EpiNow2-IPM-dat","R","2020-05-24","estimate",0.89773930278174,1.28358849732133,0.985381019120179,1.14601411828749,1.06121234870712,1.07191956777217
"National","EpiNow2-IPM-dat","R","2020-05-25","estimate",0.887131028585401,1.26110681487988,0.974959969809489,1.12973154709978,1.04700718405922,1.05715893339103
"National","EpiNow2-IPM-dat","R","2020-05-26","estimate",0.871464786653307,1.2320544527889,0.95875476986946,1.10386831293915,1.02676863650793,1.03660230159389
"National","EpiNow2-IPM-dat","R","2020-05-27","estimate",0.854984373518107,1.19201601657492,0.938562000682273,1.07597934261856,1.00362613012496,1.01197781584003
"National","EpiNow2-IPM-dat","R","2020-05-28","estimate",0.836365732984792,1.15587717508937,0.916460633292267,1.04592924809337,0.978270964209753,0.985226974227672
"National","EpiNow2-IPM-dat","R","2020-05-29","estimate",0.816531784633671,1.12450347474025,0.892272869752193,1.01825228320577,0.953132991958501,0.958276735963968
"National","EpiNow2-IPM-dat","R","2020-05-30","estimate",0.78846407208124,1.08990573730341,0.868588906512373,0.991867069408292,0.930345906935442,0.932873695135067
"National","EpiNow2-IPM-dat","R","2020-05-31","estimate",0.763086849304337,1.0630940367544,0.85123699305276,0.970385666633361,0.909287193243692,0.9104910590829
"National","EpiNow2-IPM-dat","R","2020-06-01","estimate",0.744633754817601,1.03814096733133,0.833466781381958,0.951032874681004,0.893597845720064,0.892298094165169
"National","EpiNow2-IPM-dat","R","2020-06-02","estimate",0.729336892815404,1.02380002892289,0.81866872842005,0.9401830703359,0.880519537789515,0.879171946843584
"National","EpiNow2-IPM-dat","R","2020-06-03","estimate",0.72383390307982,1.01735381984477,0.8107072459904,0.932799294842904,0.873676196715011,0.871731660860572
"National","EpiNow2-IPM-dat","R","2020-06-04","estimate",0.722011851771289,1.01742027154275,0.808131917985996,0.932248135770338,0.871837970709371,0.870379438891001
"National","EpiNow2-IPM-dat","R","2020-06-05","estimate",0.725074013500772,1.02343453507149,0.812355500797248,0.937368472104575,0.875271615778535,0.875340668422991
"National","EpiNow2-IPM-dat","R","2020-06-06","estimate",0.733493957056657,1.03885798135567,0.822015869363306,0.95071465231813,0.886444432029629,0.88669929678158
"National","EpiNow2-IPM-dat","R","2020-06-07","estimate",0.750620894689169,1.05844725886156,0.837641017029685,0.970326787029935,0.904297721036408,0.904427566809204
"National","EpiNow2-IPM-dat","R","2020-06-08","estimate",0.773691757897466,1.08706527306493,0.860145383548801,0.992929468483758,0.929492737889307,0.928408893233836
"National","EpiNow2-IPM-dat","R","2020-06-09","estimate",0.798499042231868,1.12069091180907,0.888992432424353,1.02312569988465,0.959558408785491,0.958450816526851
"National","EpiNow2-IPM-dat","R","2020-06-10","estimate",0.831799951104638,1.16204422346995,0.926314436507881,1.06131236116379,0.994459232619693,0.994283277039129
"National","EpiNow2-IPM-dat","R","2020-06-11","estimate",0.866064087325559,1.20739590879383,0.967710721031272,1.10302791187789,1.03477158656984,1.03553767248345
"National","EpiNow2-IPM-dat","R","2020-06-12","estimate",0.910115497554197,1.25695953855322,1.01250033315802,1.15056362357285,1.0802856770491,1.08170515677127
"National","EpiNow2-IPM-dat","R","2020-06-13","estimate",0.957898324319137,1.3099510979418,1.05997527007248,1.20183624163719,1.13085355230953,1.13207774835104
"National","EpiNow2-IPM-dat","R","2020-06-14","estimate",1.00750891419236,1.3687998849157,1.11319290764861,1.25729792438128,1.18356876739351,1.1856811842549
"National","EpiNow2-IPM-dat","R","2020-06-15","estimate",1.06249654542988,1.42837055378931,1.16612380627949,1.31361563120639,1.23751503422208,1.24121224315074
"National","EpiNow2-IPM-dat","R","2020-06-16","estimate",1.11635367374633,1.49203466238426,1.22128728316037,1.37124178672842,1.29179379822015,1.29699481594355
"National","EpiNow2-IPM-dat","R","2020-06-17","estimate",1.17016775270804,1.55556797289727,1.27073566608386,1.42432930939453,1.34530985579845,1.35096914782323
"National","EpiNow2-IPM-dat","R","2020-06-18","estimate",1.21437374697052,1.61298615814822,1.31810628369411,1.47848093696694,1.393145242945,1.4007288891032
"National","EpiNow2-IPM-dat","R","2020-06-19","estimate",1.25120901867459,1.66126609959113,1.35706594153277,1.52182858988011,1.43491990464161,1.44362133007599
"National","EpiNow2-IPM-dat","R","2020-06-20","estimate",1.27557724309468,1.71015609810371,1.38507068229553,1.55906703680488,1.46756393555637,1.47692513365099
"National","EpiNow2-IPM-dat","R","2020-06-21","estimate",1.28402697817135,1.74328258088053,1.40249947472361,1.58551895264232,1.48538513833195,1.49811148292343
"National","EpiNow2-IPM-dat","R","2020-06-22","estimate",1.28798468476474,1.7594271249892,1.40549698703267,1.59233926145037,1.4929228985982,1.50517271761766
"National","EpiNow2-IPM-dat","R","2020-06-23","estimate",1.27519413131256,1.75741443074524,1.39542463703443,1.58553473388097,1.48220940185615,1.49696713444532
"National","EpiNow2-IPM-dat","R","2020-06-24","estimate",1.25492385571753,1.73707992574937,1.37345206019794,1.55872644298626,1.45873820484026,1.47349305117099
"National","EpiNow2-IPM-dat","R","2020-06-25","estimate",1.2245787222018,1.68745855675734,1.3385920390041,1.51552822307259,1.42300305886394,1.4359954550846
"National","EpiNow2-IPM-dat","R","2020-06-26","estimate",1.19049885773955,1.617514078398,1.29804539700693,1.4648673563926,1.37492310165626,1.38684563176352
"National","EpiNow2-IPM-dat","R","2020-06-27","estimate",1.14933951582778,1.53726006543052,1.24796659632632,1.40071254694453,1.32096900601519,1.32921012854368
"National","EpiNow2-IPM-dat","R","2020-06-28","estimate",1.09584923714767,1.45765712675771,1.19086631488548,1.33256026543471,1.26098636030917,1.26660042335019
"National","EpiNow2-IPM-dat","R","2020-06-29","estimate",1.03547051256502,1.37705461954479,1.13227806287792,1.27000066087125,1.19954812330861,1.20242651923808
"National","EpiNow2-IPM-dat","R","2020-06-30","estimate",0.978499151573556,1.30519651787293,1.07403992256904,1.20449016944801,1.1394983761104,1.13965493663115
"National","EpiNow2-IPM-dat","R","2020-07-01","estimate",0.919146366049978,1.24262188751313,1.01611497984539,1.14552842210536,1.08277928303922,1.08061675806257
"National","EpiNow2-IPM-dat","R","2020-07-02","estimate",0.866336211495722,1.18787400760902,0.963595283783335,1.09155730388211,1.02925321270752,1.02695741476005
"National","EpiNow2-IPM-dat","R","2020-07-03","estimate",0.817957111126747,1.13774200863775,0.917793587456677,1.04445733484936,0.981551959780703,0.97968765681901
"National","EpiNow2-IPM-dat","R","2020-07-04","estimate",0.778799171289407,1.09430305103635,0.876874308158968,1.00317327953376,0.940760632304117,0.939287685701614
"National","EpiNow2-IPM-dat","R","2020-07-05","estimate",0.747470684327911,1.05863340070875,0.843149869040492,0.969611145377067,0.908375446472537,0.905825553828712
"National","EpiNow2-IPM-dat","R","2020-07-06","estimate",0.725059588577093,1.02946036253527,0.817178810659643,0.940463449922878,0.881750829165068,0.879066114318882
"National","EpiNow2-IPM-dat","R","2020-07-07","estimate",0.709255199626575,1.00406571353279,0.799923302401348,0.916894669030962,0.860417250523708,0.858560692691021
"National","EpiNow2-IPM-dat","R","2020-07-08","estimate",0.70080700625374,0.986650774479261,0.786272091134025,0.899868385382607,0.844823657741087,0.843717289138324
"National","EpiNow2-IPM-dat","R","2020-07-09","estimate",0.69728554920998,0.975899149781973,0.777907901365072,0.887116883130318,0.833547823751101,0.833856392801143
"National","EpiNow2-IPM-dat","R","2020-07-10","estimate",0.698365490462245,0.969120038707819,0.772672578403825,0.88093431235311,0.825985280524634,0.828259085562954
"National","EpiNow2-IPM-dat","R","2020-07-11","estimate",0.699884788304138,0.961498794068931,0.771839120345485,0.876733763580807,0.823146378561167,0.826212521412575
"National","EpiNow2-IPM-dat","R","2020-07-12","estimate",0.700105626326987,0.964135428707805,0.772084230219262,0.878671798659091,0.824087731049453,0.827053800555917
"National","EpiNow2-IPM-dat","R","2020-07-13","estimate",0.702040597296404,0.972724209231053,0.775474171006367,0.881837246568595,0.827580008083902,0.830208495536116
"National","EpiNow2-IPM-dat","R","2020-07-14","estimate",0.7047345726867,0.974274136341486,0.780191384950187,0.887564460345958,0.832734565331428,0.835217231778991
"National","EpiNow2-IPM-dat","R","2020-07-15","estimate",0.711748891693274,0.982229877096417,0.785630858193286,0.89417291145976,0.838635256945525,0.841744541822872
"National","EpiNow2-IPM-dat","R","2020-07-16","estimate",0.718327945188052,0.990644265484749,0.792112157958133,0.903891602602623,0.846514697945342,0.849568199920358
"National","EpiNow2-IPM-dat","R","2020-07-17","estimate",0.727236058532803,0.99824733249253,0.800660011979009,0.913675095837403,0.85537424544647,0.85855213265936
"National","EpiNow2-IPM-dat","R","2020-07-18","estimate",0.735216356501398,1.0112735211358,0.81155889379058,0.922293095077453,0.865214390614993,0.868609554607495
"National","EpiNow2-IPM-dat","R","2020-07-19","estimate",0.745447979288281,1.02267720376689,0.822110329321889,0.933611248230404,0.875847816147402,0.879664151581998
"National","EpiNow2-IPM-dat","R","2020-07-20","estimate",0.758918816452979,1.03740430081965,0.834941058776189,0.945437352579951,0.886677558150282,0.891616011203659
"National","EpiNow2-IPM-dat","R","2020-07-21","estimate",0.771394261623645,1.05081462524206,0.846849714661756,0.958320695361959,0.899755800229345,0.904316353910279
"National","EpiNow2-IPM-dat","R","2020-07-22","estimate",0.783423072591925,1.0695318676287,0.859779790313229,0.971413004731719,0.913326752530713,0.917552154774554
"National","EpiNow2-IPM-dat","R","2020-07-23","estimate",0.792064539696988,1.08378004997406,0.872778629466587,0.984626240181475,0.927737923386896,0.931039762198879
"National","EpiNow2-IPM-dat","R","2020-07-24","estimate",0.80506512781003,1.0962224772612,0.886859719928412,0.998749432877046,0.94036153943618,0.944426347068412
"National","EpiNow2-IPM-dat","R","2020-07-25","estimate",0.816466401790349,1.11082395486793,0.899638039791245,1.01322951855646,0.952411283338659,0.957299119015841
"National","EpiNow2-IPM-dat","R","2020-07-26","estimate",0.829061974522791,1.12220500235726,0.908309593713676,1.02674977844938,0.965449888495463,0.969203485509233
"National","EpiNow2-IPM-dat","R","2020-07-27","estimate",0.838363019390116,1.13320309291153,0.917276972745712,1.03624836762393,0.976250657526623,0.979671313264098
"National","EpiNow2-IPM-dat","R","2020-07-28","estimate",0.843500294518586,1.14683728469239,0.924157524488206,1.04702375582862,0.985578311969924,0.98825847680048
"National","EpiNow2-IPM-dat","R","2020-07-29","estimate",0.846700843793476,1.15604412561415,0.929234144918713,1.05334835034964,0.99111603188359,0.994587430015739
"National","EpiNow2-IPM-dat","R","2020-07-30","estimate",0.849945656598012,1.16344566423331,0.935382035258767,1.05684145571226,0.994142250732555,0.998387191189928
"National","EpiNow2-IPM-dat","R","2020-07-31","estimate",0.848709635683611,1.16364692858672,0.937306695509203,1.05570523316433,0.994145621408973,0.999521880218535
"National","EpiNow2-IPM-dat","R","2020-08-01","estimate",0.848322001107973,1.16218852887365,0.937019413559426,1.05556605364885,0.992981191996505,0.998001171514544
"National","EpiNow2-IPM-dat","R","2020-08-02","estimate",0.848340543674823,1.15649567283744,0.93240618058988,1.05221117128974,0.989071439252368,0.993971454293505
"National","EpiNow2-IPM-dat","R","2020-08-03","estimate",0.843219296512426,1.14954806107443,0.927067703628602,1.04531030812127,0.983769549881621,0.98769274236358
"National","EpiNow2-IPM-dat","R","2020-08-04","estimate",0.834270006316064,1.13589557045887,0.918267764653379,1.03490697528515,0.977022383847261,0.979509983699069
"National","EpiNow2-IPM-dat","R","2020-08-05","estimate",0.82213247878039,1.12226472315092,0.908488748415111,1.02574087950717,0.967426899578729,0.969826239559381
"National","EpiNow2-IPM-dat","R","2020-08-06","estimate",0.81340476147201,1.1094196551145,0.898593067544454,1.01530033318354,0.957160070732604,0.959080354895093
"National","EpiNow2-IPM-dat","R","2020-08-07","estimate",0.804723988804826,1.09695321874885,0.887804096645734,1.00515038340793,0.94601886812659,0.947727040424464
"National","EpiNow2-IPM-dat","R","2020-08-08","estimate",0.792691416186233,1.08457847178783,0.877060710209874,0.99438364199774,0.933079195042365,0.936216135249251
"National","EpiNow2-IPM-dat","R","2020-08-09","estimate",0.781374675811604,1.07261292634379,0.865219105896858,0.983655077281249,0.921051229464575,0.924970289665387
"National","EpiNow2-IPM-dat","R","2020-08-10","estimate",0.772403740318809,1.06293382600244,0.855223035119716,0.972185313372449,0.911359710792262,0.914363410363167
"National","EpiNow2-IPM-dat","R","2020-08-11","estimate",0.765951977950957,1.05188515018181,0.846874807778463,0.961816800734217,0.902820560121009,0.904703069185618
"National","EpiNow2-IPM-dat","R","2020-08-12","estimate",0.756790760264329,1.04406352194936,0.837590542646234,0.952565593451988,0.893643540334462,0.896218505183347
"National","EpiNow2-IPM-dat","R","2020-08-13","estimate",0.749780121068514,1.034507439364,0.830849065009335,0.944009702569206,0.887718243651421,0.889053820245985
"National","EpiNow2-IPM-dat","R","2020-08-14","estimate",0.744269661527543,1.02683045671157,0.826738753406155,0.938500208959503,0.880947747464658,0.883265231199494
"National","EpiNow2-IPM-dat","R","2020-08-15","estimate",0.739414091014974,1.01781089332142,0.82307755949042,0.93446885152983,0.877264312846656,0.878821887325808
"National","EpiNow2-IPM-dat","R","2020-08-16","estimate",0.736137236259459,1.01478013093472,0.820882576780136,0.930552229611868,0.874551279572672,0.875610708856303
